id,years,respect,communication,trust,conflict,time_spent,support,relationship_status,question,answer
1,0,4,6,2,8,10,7,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
2,11,3,9,3,7,9,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
3,2,5,10,5,2,3,2,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
4,13,8,1,10,10,5,6,Bad,What is love?,Love is a deep feeling of affection and care.
5,5,6,7,4,10,5,1,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
6,14,10,2,3,9,4,2,Bad,What is a healthy relationship?,"A healthy relationship is built on trust, respect, and communication."
7,0,1,3,4,7,7,1,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
8,14,10,7,7,3,4,6,Good,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
9,3,10,10,4,10,3,7,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
10,15,6,3,4,2,10,1,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
11,6,9,3,10,7,8,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
12,8,6,8,8,1,7,2,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
13,3,9,8,2,5,5,5,Bad,What are signs of a bad relationship?,"Constant fights, lack of trust, and poor communication."
14,0,1,6,10,9,3,6,Bad,Can long distance relationships work?,"Yes, with trust, communication, and regular efforts."
15,6,9,8,7,3,10,5,Good,How important is respect?,Respect is the foundation for a long-lasting relationship.
16,15,4,4,8,5,3,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
17,3,3,2,6,1,6,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
18,4,6,3,8,10,9,1,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
19,6,3,3,2,8,7,6,Bad,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
20,1,5,9,8,3,8,10,Good,How to resolve conflicts?,"Talk openly, avoid blame, and find common ground."
21,10,5,7,2,8,6,6,Bad,What is trust in a relationship?,Trust means relying on your partner with honesty and loyalty.
22,1,4,4,1,0,8,9,Bad,How to improve communication?,"Listen actively, be honest, and express feelings calmly."
23,13,1,6,2,8,3,2,Bad,What is compromise?,Compromise is adjusting for your partner without losing self-respect.
24,10,10,3,2,4,6,2,Bad,What makes a relationship strong?,"Support, trust, respect, and shared goals."
25,6,5,3,3,4,2,5,Bad,How important is respect?,Respect is the foundation for a long-lasting relationship.
